#Mull Complex Bouguer Anomaly, Traverse NE-SW			
#
#Distance (km)	Std Dev Distance (m)	Bouguer Anomaly (mGal)	Std Dev Bouguer (mGal)
32.0	0.15	-6.0	2.7
23.2	0.31	0.0	2.9
16.0	0.26	10.0	2.1
13.0	0.15	20.0	6.5
10.5	0.41	30.0	3.9
8.2	0.24	40.0	5.8
6.0	0.14	50.0	2.7
3.0	0.34	60.0	3.8
1.0	0.15	62.0	8.2
0.0	0.15	63.0	3.7
-1.0	0.12	62.0	1.5
-3.0	0.34	60.0	6.7
-5.5	0.16	50.0	3.6
-7.0	0.29	40.0	4.5
-10.0	0.11	30.0	0.6
-10.5	0.15	20.0	4.1
-12.0	0.28	10.0	4.8
-13.5	0.31	0.0	4.4
-17.0	0.38	-4.0	2.7
-22.0	0.15	0.0	6.4
